seed,model,N,M,USW,EF violations,CPU time,elapsed time,EF1,fPO
7,ILP,3,70,121.0,0,0.05566200000000032,0.043569832999999836,True,True
8,ILP,3,70,134.0,0,0.05187300000000006,0.040369667,True,True
9,ILP,3,70,114.0,0,0.03526600000000002,0.03528187499999991,True,True
0,ILP,3,90,166.0,0,0.05288599999999999,0.05006037500000016,True,True
1,ILP,3,90,158.0,0,0.04650899999999991,0.046520166999999946,True,True
2,ILP,3,90,166.0,0,0.07227899999999998,0.053362249999999944,True,True
3,ILP,3,90,158.0,0,0.07038399999999978,0.053749833999999996,True,True
4,ILP,3,90,160.0,0,0.05148600000000014,0.04882145799999993,True,True
5,ILP,3,90,162.0,0,0.07084100000000015,0.05312774999999981,True,True
6,ILP,3,90,169.0,0,0.07465499999999992,0.05388304200000005,True,True
7,ILP,3,90,156.0,0,0.0725159999999998,0.05323945899999982,True,True
8,ILP,3,90,174.0,0,0.07410500000000031,0.05394812500000001,True,True
9,ILP,3,90,149.0,0,0.04789399999999988,0.047941542000000004,True,True
0,ILP,3,110,205.0,0,0.054861999999999966,0.054892957999999936,True,True
1,ILP,3,110,191.0,0,0.05328300000000041,0.05330987500000006,True,True
2,ILP,3,110,208.0,0,0.08096899999999962,0.061920833000000064,True,True
3,ILP,3,110,196.0,0,0.08448400000000023,0.0618794170000001,True,True
4,ILP,3,110,192.0,0,0.0839919999999994,0.06369808300000002,True,True
5,ILP,3,110,202.0,0,0.08469999999999978,0.06267029199999996,True,True
6,ILP,3,110,215.0,0,0.08770200000000017,0.06735645800000034,True,True
7,ILP,3,110,191.0,0,0.08351799999999976,0.06274779200000014,True,True
8,ILP,3,110,212.0,0,0.08423099999999994,0.06362895799999979,True,True
9,ILP,3,110,190.0,0,0.08384500000000017,0.06230529200000001,True,True
0,ILP,3,130,239.0,0,0.06284699999999965,0.06286662499999984,True,True
1,ILP,3,130,223.0,0,0.06015899999999963,0.060176499999999855,True,True
2,ILP,3,130,238.0,0,0.08713699999999935,0.06926954200000024,True,True
3,ILP,3,130,231.0,0,0.08946899999999935,0.06860324999999978,True,True
4,ILP,3,130,222.0,0,0.08772700000000011,0.07077237499999978,True,True
5,ILP,3,130,241.0,0,0.059470000000000134,0.05952520800000016,True,True
6,ILP,3,130,249.0,0,0.0956330000000003,0.07096325000000014,True,True
7,ILP,3,130,228.0,0,0.06043299999999974,0.06044274999999999,True,True
8,ILP,3,130,251.0,0,0.09586299999999959,0.07051787500000017,True,True
9,ILP,3,130,231.0,0,0.09524700000000053,0.07131945800000006,True,True
0,ILP,3,150,281.0,0,0.06906200000000062,0.06912487499999997,True,True
1,ILP,3,150,260.0,0,0.09815200000000068,0.07722008399999991,True,True
2,ILP,3,150,271.0,0,0.10753700000000066,0.07859291599999985,True,True
3,ILP,3,150,267.0,0,0.07251999999999992,0.06918912499999985,True,True
4,ILP,3,150,258.0,0,0.100854,0.07880650000000022,True,True
5,ILP,3,150,274.0,0,0.10390799999999967,0.07686537500000012,True,True
6,ILP,3,150,285.0,0,0.10409600000000019,0.08181887499999974,True,True
7,ILP,3,150,262.0,0,0.10412400000000055,0.07895495899999982,True,True
8,ILP,3,150,292.0,0,0.10529400000000066,0.07736754199999973,True,True
9,ILP,3,150,274.0,0,0.09854699999999994,0.07782387499999999,True,True
0,ILP,3,170,319.0,0,0.11101399999999995,0.08399441699999999,True,True
1,ILP,3,170,299.0,0,0.12055299999999924,0.08890820799999988,True,True
2,ILP,3,170,303.0,0,0.11453999999999986,0.0857328750000006,True,True
3,ILP,3,170,305.0,0,0.11476799999999976,0.0846579580000002,True,True
4,ILP,3,170,297.0,0,0.07682399999999934,0.07733304199999935,True,True
5,ILP,3,170,307.0,0,0.11310399999999987,0.08387745899999999,True,True
6,ILP,3,170,322.0,0,0.08777300000000032,0.08296391599999975,True,True
7,ILP,3,170,298.0,0,0.11587499999999995,0.08717949999999952,True,True
8,ILP,3,170,325.0,0,0.1091489999999995,0.08713245800000013,True,True
9,ILP,3,170,315.0,0,0.08526800000000012,0.07802687499999994,True,True
0,ILP,3,190,356.0,0,0.12621799999999972,0.09352287500000056,True,True
1,ILP,3,190,335.0,0,0.118722,0.09497716700000058,True,True
2,ILP,3,190,335.0,0,0.12521700000000013,0.09720395900000067,True,True
3,ILP,3,190,347.0,0,0.11615499999999912,0.09634925000000027,True,True
